,Bharatiya Janta Party,Indian National Congress,All India Anna Dravida Munnetra Kazhagam,All India Trinamool Congress,Biju Janata Dal,Shiv Sena,Telugu Desam,Telangana Rashtra Samithi,Communist Party Of India (MARXIST)
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,-0.010000001639127731,0.019999997317790986,0.04999999850988388,-0.15999999791383743,-0.04000000208616257,-0.2599999986588955,0.030000000447034835,0.13000000268220901,-0.05999999567866325
std,0.4175324376727351,0.27808871388509965,0.28771127370362615,0.4926120872799194,0.2988868328371989,0.4526465400582249,0.22632327485739107,0.23593785043820942,0.33730961357014055
min,-0.800000011920929,-0.30000001192092896,-0.4000000059604645,-0.800000011920929,-0.6000000238418579,-0.8999999761581421,-0.4000000059604645,-0.10000000149011612,-0.8999999761581421
25%,-0.22500000894069672,-0.15000000223517418,0.0,-0.6249999925494194,-0.22500000894069672,-0.7250000089406967,0.0,0.0,-0.10000000149011612
50%,0.0,0.0,0.0,0.0,0.0,-0.10000000149011612,0.05000000074505806,0.0,0.0
75%,0.25000000931322575,0.0,0.15000000223517418,0.07500000111758709,0.20000000298023224,0.07500000111758709,0.20000000298023224,0.1750000026077032,0.07500000111758709
max,0.699999988079071,0.699999988079071,0.699999988079071,0.800000011920929,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.6000000238418579,0.30000001192092896
